,model_id,gene_symbol,rsem_tpm,z_score,gene_expression_level
25329,SIDM00892,BAD,6.3149,0.7385681908985088,normal
25392,SIDM01056,BAD,5.6511,-0.19108342437020112,normal
25394,SIDM00716,BAD,5.3045,-0.676496575699117,normal
25398,SIDM00284,BAD,5.3452,-0.6194962431570311,normal
25410,SIDM00870,BAD,6.6792,1.2487701846351629,high
25427,SIDM00890,BAD,6.1799,0.5495007488055959,normal
25535,SIDM01001,BAD,5.5484,-0.33491473031792046,normal
25692,SIDM00568,BAD,4.3313,-2.039462758253363,low
25883,SIDM01066,BAD,5.3712,-0.5830832543095074,normal
25913,SIDM00506,BAD,5.7057,-0.11461614779039976,normal
25951,SIDM00910,BAD,5.342,-0.6239778417844194,normal
25979,SIDM00920,BAD,5.4423,-0.48350773480723913,normal
26039,SIDM00337,BAD,4.6282,-1.6236544356060598,low
26077,SIDM01059,BAD,5.3684,-0.587004653108471,normal
26159,SIDM00881,BAD,6.8648,1.508702905023642,high
26295,SIDM00795,BAD,5.8179,0.04251990408237649,normal
26321,SIDM00524,BAD,6.5804,1.1104008270145718,high
46983,SIDM00892,CFLAR,4.1731,-0.027461790359987893,normal
47046,SIDM01056,CFLAR,3.1177,-0.9844177333136657,normal
47048,SIDM00716,CFLAR,3.9846,-0.19837916315396953,normal
47052,SIDM00284,CFLAR,3.706,-0.4509923199730852,normal
47064,SIDM00870,CFLAR,4.557,0.3206293471233526,normal
47081,SIDM00890,CFLAR,4.7745,0.5178417003471771,normal
47189,SIDM01001,CFLAR,3.3377,-0.7849385714320957,normal
47346,SIDM00568,CFLAR,4.7829,0.5254581774372007,normal
47537,SIDM01066,CFLAR,4.2795,0.06901358611364408,normal
47567,SIDM00506,CFLAR,5.4764,1.154270899095696,high
47605,SIDM00910,CFLAR,3.5373,-0.6039565681977255,normal
47633,SIDM00920,CFLAR,1.5607,-2.396186165357324,low
47693,SIDM00337,CFLAR,3.8012,-0.364672246286151,normal
47731,SIDM01059,CFLAR,3.6588,-0.4937896674313131,normal
47813,SIDM00881,CFLAR,4.5916,0.35200197894654434,normal
47949,SIDM00795,CFLAR,2.9203,-1.16340494492922,low
47975,SIDM00524,CFLAR,5.2319,0.9325770123682241,normal
164877,SIDM00892,ETV1,0.111,-1.58020416438764,low
164940,SIDM01056,ETV1,0.0976,-1.5871278651439624,low
164942,SIDM00716,ETV1,0.7312,-1.2597504920689169,low
164946,SIDM00284,ETV1,3.852,0.35274841243329635,normal
164958,SIDM00870,ETV1,1.8319,-0.6910253112865576,normal
164975,SIDM00890,ETV1,5.844,1.3820030323283263,high
165083,SIDM01001,ETV1,3.0215,-0.07636602623277891,normal
165240,SIDM00568,ETV1,0.3896,-1.436253191946498,low
165431,SIDM01066,ETV1,4.5204,0.6981067397113276,normal
165461,SIDM00506,ETV1,2.0391,-0.5839662966067133,normal
165499,SIDM00910,ETV1,5.7866,1.352344791775126,high
165527,SIDM00920,ETV1,0.1375,-1.566511771100884,low
165587,SIDM00337,ETV1,2.8217,-0.1796015046740576,normal
165625,SIDM01059,ETV1,5.2396,1.069713126573027,high
165707,SIDM00881,ETV1,0.1506,-1.55974307857045,low
165843,SIDM00795,ETV1,4.5021,0.6886512379321715,normal
165869,SIDM00524,ETV1,3.2765,0.05539096577185585,normal
371793,SIDM00892,BRCA1,3.942,-0.5416823407741417,normal
371856,SIDM01056,BRCA1,3.8339,-0.6537498454798123,normal
371858,SIDM00716,BRCA1,4.6064,0.1471025817646862,normal
371862,SIDM00284,BRCA1,4.6444,0.18649726426991747,normal
371874,SIDM00870,BRCA1,4.3089,-0.16131631416442427,normal
371891,SIDM00890,BRCA1,4.5033,0.04021858791496788,normal
371999,SIDM01001,BRCA1,4.5886,0.1286492831174988,normal
372156,SIDM00568,BRCA1,4.1906,-0.28395818101623604,normal
372347,SIDM01066,BRCA1,5.2687,0.833710429744015,normal
372377,SIDM00506,BRCA1,5.6605,1.2398903404163701,high
372415,SIDM00910,BRCA1,5.9083,1.4967851384373236,high
372443,SIDM00920,BRCA1,4.856,0.40586344369378247,normal
372503,SIDM00337,BRCA1,5.0444,0.6011781327460336,normal
372541,SIDM01059,BRCA1,4.6165,0.1575732736937086,normal
372623,SIDM00881,BRCA1,4.6966,0.2406131176060506,normal
372759,SIDM00795,BRCA1,5.0255,0.5815844617105367,normal
372785,SIDM00524,BRCA1,5.599,1.1761331568881679,high
1239156,SIDM00892,FGFR3,5.4705,1.7103380937541866,high
1239219,SIDM01056,FGFR3,5.6865,1.8203094156040256,high
1239221,SIDM00716,FGFR3,3.2095,0.5592030997611914,normal
1239225,SIDM00284,FGFR3,0.8319,-0.6512960429711149,normal
1239237,SIDM00870,FGFR3,2.3505,0.12186344481206149,normal
1239254,SIDM00890,FGFR3,3.0548,0.48044123175114456,normal
1239362,SIDM01001,FGFR3,3.7824,0.8508816659082887,normal
1239519,SIDM00568,FGFR3,4.8156,1.3769111554233537,high
1239710,SIDM01066,FGFR3,0.1243,-1.011553947327348,low
1239740,SIDM00506,FGFR3,0.6415,-0.7482337266757882,normal
1239778,SIDM00910,FGFR3,4.0072,0.965333300870529,normal
1239806,SIDM00920,FGFR3,2.7159,0.30789826427470657,normal
1239866,SIDM00337,FGFR3,0.0566,-1.046021810703432,low
1239904,SIDM01059,FGFR3,0.0426,-1.0531495815640697,low
1239986,SIDM00881,FGFR3,2.0356,-0.03846048690328296,normal
1240122,SIDM00795,FGFR3,2.1177,0.00333879792945696,normal
1240148,SIDM00524,FGFR3,2.6439,0.27124115699142676,normal
2068023,SIDM00892,BAX,8.2811,1.485724182301362,high
2068086,SIDM01056,BAX,6.9529,-0.2654955020372264,normal
2068088,SIDM00716,BAX,7.2104,0.07401591846961506,normal
2068092,SIDM00284,BAX,8.0259,1.1492452909873974,high
2068104,SIDM00870,BAX,7.7632,0.8028777175227485,normal
2068121,SIDM00890,BAX,8.3118,1.5262018545714975,high
2068229,SIDM01001,BAX,7.5346,0.501470685569879,normal
2068386,SIDM00568,BAX,8.778,2.1408823370580587,high
2068577,SIDM01066,BAX,6.8515,-0.3991904847144833,normal
2068607,SIDM00506,BAX,7.3916,0.3129264792301578,normal
2068645,SIDM00910,BAX,7.3262,0.22669717087618685,normal
2068673,SIDM00920,BAX,7.1362,-0.023816110274492513,normal
2068733,SIDM00337,BAX,8.315,1.5304210256224557,high
2068771,SIDM01059,BAX,6.3203,-1.0995728791736445,low
2068853,SIDM00881,BAX,7.3445,0.2508255553238575,normal
2068989,SIDM00795,BAX,7.7623,0.8016910756646657,normal
2069015,SIDM00524,BAX,6.8137,-0.44902944275393397,normal
2219601,SIDM00892,BIRC5,5.3165,-0.8300316718670903,normal
2219664,SIDM01056,BIRC5,6.5838,0.45814230226680497,normal
2219666,SIDM00716,BIRC5,5.9919,-0.14350701146305544,normal
2219670,SIDM00284,BIRC5,6.7688,0.6461894775329378,normal
2219682,SIDM00870,BIRC5,6.7109,0.5873357940307262,normal
2219699,SIDM00890,BIRC5,6.2513,0.12016562239659226,normal
2219807,SIDM01001,BIRC5,6.1185,-0.014821755307961268,normal
2219964,SIDM00568,BIRC5,5.0583,-1.0924845402655523,low
2220155,SIDM01066,BIRC5,6.8747,0.7538337794825783,normal
2220185,SIDM00506,BIRC5,7.1846,1.0688382098337925,high
2220223,SIDM00910,BIRC5,7.0579,0.9400513065569331,normal
2220251,SIDM00920,BIRC5,6.4448,0.31685280301279123,normal
2220311,SIDM00337,BIRC5,5.846,-0.29181016211888705,normal
2220349,SIDM01059,BIRC5,6.6707,0.5464736510810048,normal
2220431,SIDM00881,BIRC5,7.0204,0.9019336358948795,normal
2220567,SIDM00795,BIRC5,6.0431,-0.09146368511913135,normal
2220593,SIDM00524,BIRC5,6.6289,0.503985154183035,normal
2754936,SIDM00892,EP300,4.4931,-0.46925483629158654,normal
2754999,SIDM01056,EP300,4.3561,-0.782938971646947,normal
2755001,SIDM00716,EP300,4.3778,-0.7332532363388352,normal
2755005,SIDM00284,EP300,4.5367,-0.3694254326310496,normal
2755017,SIDM00870,EP300,4.0522,-1.4787682324826668,low
2755034,SIDM00890,EP300,5.1587,1.0547463351867135,high
2755142,SIDM01001,EP300,4.4653,-0.5329075294512873,normal
